Timestamp,Temp_C,Poli_bar,Vbat_V,Brake,Dplus,RPM,Speed_kmh,Odo_km,PTrans_bar,TTrans_C,Cnt_Empty,Cnt_Loaded,HourMeter,Uptime_s,Alarm_Temp,Alarm_Poli,Alarm_Vbat
2026-05-18 15:42:46,0,0,0,0,0,0,0,0,0,0,0,0,9.1,21,0,1,1
2026-05-18 15:42:52,0,0,0,0,0,0,0,0,0,0,0,0,9.1,26,0,1,1
2026-05-18 15:43:03,0,0,0,0,0,0,0,0,0,0,0,0,9.1,37,0,1,1
2026-05-18 15:43:07,0,0,0,0,0,0,0,0,0,0,0,0,9.1,42,0,1,1
2026-05-18 15:43:13,0,0,0,0,0,0,0,0,0,0,0,0,9.1,47,0,1,1
2026-05-18 15:43:18,0,0,0,0,0,0,0,0,0,0,0,0,9.1,52,0,1,1
2026-05-18 15:43:28,0,0,0,0,0,0,0,0,0,0,0,0,9.1,62,0,1,1
2026-05-18 15:43:44,0,0,0,0,0,0,0,0,0,0,0,0,9.1,77,0,1,1
2026-05-18 15:43:56,0,0,0,0,0,0,0,0,0,0,0,0,9.1,90,0,1,1
2026-05-18 15:44:07,0,0,0,0,0,0,0,0,0,0,0,0,9.1,101,0,1,1
2026-05-18 15:44:12,0,0,0,0,0,0,0,0,0,0,0,0,9.1,107,0,1,1
2026-05-18 15:44:23,0,0,0,0,0,0,0,0,0,0,0,0,9.1,117,0,1,1
2026-05-18 15:44:28,0,0,0,0,0,0,0,0,0,0,0,0,9.1,122,0,1,1
2026-05-18 15:44:39,0,0,0,0,0,0,0,0,0,0,0,0,9.1,133,0,1,1
2026-05-18 15:44:44,0,0,0,0,0,0,0,0,0,0,0,0,9.1,138,0,1,1
2026-05-18 15:44:55,0,0,0,0,0,0,0,0,0,0,0,0,9.1,149,0,1,1
2026-05-18 15:45:06,0,0,0,0,0,0,0,0,0,0,0,0,9.1,160,0,1,1
2026-05-18 15:45:17,0,0,0,0,0,0,0,0,0,0,0,0,9.2,171,0,1,1
2026-05-18 15:45:28,0,0,0,0,0,0,0,0,0,0,0,0,9.2,182,0,1,1
2026-05-18 15:45:38,0,0,0,0,0,0,0,0,0,0,0,0,9.2,192,0,1,1
2026-05-18 15:45:50,0,0,0,0,0,0,0,0,0,0,0,0,9.2,204,0,1,1
2026-05-18 15:46:02,0,0,0,0,0,0,0,0,0,0,0,0,9.2,216,0,1,1
2026-05-18 15:46:14,0,0,0,0,0,0,0,0,0,0,0,0,9.2,228,0,1,1
2026-05-18 15:46:24,0,0,0,0,0,0,0,0,0,0,0,0,9.2,239,0,1,1
2026-05-18 15:46:30,0,0,0,0,0,0,0,0,0,0,0,0,9.2,244,0,1,1
2026-05-18 15:46:40,0,0,0,0,0,0,0,0,0,0,0,0,9.2,254,0,1,1
2026-05-18 15:46:51,0,0,0,0,0,0,0,0,0,0,0,0,9.2,265,0,1,1
2026-05-18 15:47:02,0,0,0,0,0,0,0,0,0,0,0,0,9.2,276,0,1,1
2026-05-18 15:47:12,0,0,0,0,0,0,0,0,0,0,0,0,9.2,287,0,1,1
2026-05-18 15:47:18,0,0,0,0,0,0,0,0,0,0,0,0,9.2,292,0,1,1
2026-05-18 15:47:29,0,0,0,0,0,0,0,0,0,0,0,0,9.2,303,0,1,1
2026-05-18 15:47:40,0,0,0,0,0,0,0,0,0,0,0,0,9.2,314,0,1,1
2026-05-18 15:47:52,0,0,0,0,0,0,0,0,0,0,0,0,9.2,326,0,1,1
2026-05-18 15:48:03,0,0,0,0,0,0,0,0,0,0,0,0,9.2,338,0,1,1
2026-05-18 15:48:09,0,0,0,0,0,0,0,0,0,0,0,0,9.2,343,0,1,1
2026-05-18 15:48:21,0,0,0,0,0,0,0,0,0,0,0,0,9.2,355,0,1,1
2026-05-18 15:48:31,0,0,0,0,0,0,0,0,0,0,0,0,9.2,366,0,1,1
2026-05-18 15:48:42,0,0,0,0,0,0,0,0,0,0,0,0,9.2,376,0,1,1
2026-05-18 15:48:52,0,0,0,0,0,0,0,0,0,0,0,0,9.2,387,0,1,1
2026-05-18 15:49:02,0,0,0,0,0,0,0,0,0,0,0,0,9.2,397,0,1,1
2026-05-18 15:49:13,0,0,0,0,0,0,0,0,0,0,0,0,9.2,407,0,1,1
2026-05-18 15:49:25,0,0,0,0,0,0,0,0,0,0,0,0,9.2,419,0,1,1
2026-05-18 15:49:35,0,0,0,0,0,0,0,0,0,0,0,0,9.2,430,0,1,1
2026-05-18 15:49:50,0,0,0,0,0,0,0,0,0,0,0,0,9.2,440,0,1,1
2026-05-18 15:50:01,0,0,0,0,0,0,0,0,0,0,0,0,9.2,455,0,1,1
2026-05-18 15:50:13,0,0,0,0,0,0,0,0,0,0,0,0,9.2,467,0,1,1
2026-05-18 15:50:25,0,0,0,0,0,0,0,0,0,0,0,0,9.2,479,0,1,1
2026-05-18 15:50:37,0,0,0,0,0,0,0,0,0,0,0,0,9.2,491,0,1,1
2026-05-18 15:50:49,0,0,0,0,0,0,0,0,0,0,0,0,9.2,503,0,1,1
